pmid,title,abstract,journal,pub_date
41963053,Unraveling the cholesterol-lowering mechanism of a Lactobacillus rhamnosus S_82 and xylo-oligosaccharides synbiotic in sour cream.,"Sour cream has drawn growing attention due to high cholesterol amid rising nutritional awareness, making cholesterol reduction a critical focus. Synbiotics offer a novel strategy, with studies showing xylo-oligosaccharides (XOS) enhance the cholesterol-lowering capacity of Lactobacillus rhamnosus S_82 in vivo and in vitro. Applying this synbiotic to cream fermentation reduced cholesterol content to 54 mg/100g, while preserving fermentation characteristics and sensory quality. Transcriptomics rev...",Food microbiology,2026-Sep
41963042,Fighting phage-resistant variants of Pseudomonas kielensis by synergistic interaction between bacteriophages and probiotic treatment.,"Pseudomonas kielensis is one of the key psychrophilic bacteria that is known to cause food spoilage. Bacteriophages have been demonstrated to be a promising alternative to suppress the growth of spoilage bacteria in the food industry. This work isolated and characterized a novel lytic phage phiPKYZU08 targeting P. kielensis PK-YZU08. The Autographiviridae family phage phiPKYZU08 has a short tail (16.05 nm length) and an icosahedral head (49.85 nm diameter), and exhibited a burst size of 226 PFU/...",Food microbiology,2026-Sep
41962095,Collagen supplementation and bone health - a narrative review.,"Osteoporosis is a known skeletal chronic disease which decreases bone mass, damages bone microarchitecture and increases the risk of fragility fractures. Non pharmacological interventions, such as nutritional changes play a significant supportive role in bone health maintenance along with pharmacological treatments. Collagen is a key organic component of the bone matrix, which subjects it to intensive research as a potential dietary supplement, especially in individuals with low bone mass. The r...","Wiadomosci lekarskie (Warsaw, Poland : 1960)",2026
41958663,"Probiotics in atherosclerosis: mechanisms, efficacy and future directions - a review study.","Atherosclerosis (AS), the pathological basis of cardiovascular diseases, is a major cause of global mortality. Gut microbiota dysbiosis contributes to AS progression via trimethylamine N-oxide (TMAO), inflammation, and vascular dysfunction. Probiotics have emerged as a potential strategy against AS.",Frontiers in immunology,2026
41958149,Kluyveromyces marxianus KLU1 Increases the Cell Density and Survival of Lacticaseibacillus rhamnosus GG in Dried Kurut.,"Kurut is a traditional acid-coagulated dairy fermented product from Kazakhstan, China, Turkey, and some Central Asian countries. It can be consumed either fresh, semi-dried, or dried. In this study, probiotic Lacticaseibacillus rhamnosus GG (LGG) dried kurut was produced with and without the addition of Kluyveromyces marxianus KLU1, a yeast strain, we earlier isolated from kurut. K. marxianus KLU1 increased the cell count of LGG, enabling a probiotic level of >106 CFU/g for more than 100 days in...",Molecular nutrition & food research,2026-Apr
41958144,Preventive Effects of Probiotic Formula on Metabolic Stress Associated Physical Fatigue in Forced Swimming and LPS-Induced Mouse Models.,"Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complex disorder characterized by persistent fatigue and post-exertional symptom exacerbation, frequently associated with immune and metabolic disturbances. To evaluate the therapeutic potential of a probiotic formula, HH-205M, we employed a composite mouse model combining forced swimming stress (FSS) and repeated lipopolysaccharide (LPS) administration. FSS-LPS exposure induced pronounced fatigue-like phenotypes, including reduced...",Journal of microbiology and biotechnology,2026-Apr
41958123,Preclinical Safety Evaluation of Leuconostoc lactis DMLL10 Isolated from Kimchi in Rats.,"Leuconostoc lactis DMLL10 is a novel strain isolated from kimchi. The strain did not exhibit toxicity in genetic tests. This study aims to conduct a preclinical safety assessment by performing repeated-dose toxicity studies in animals. In the acute toxicity test, rats were administered 0 or a daily dose of 6,250 mg/kg/day of Leu. lactis DMLL10. In the 90-day repeated-dose study, daily doses of 0, 1,250, 2,500, and 5,000 mg/kg/day were given to rats. Body weight (BW), relative organ weights (ROW)...",Journal of microbiology and biotechnology,2026-Apr
41956665,A detoxifying multi-strain probiotic formula attenuates toxicity induced by heavy metals and phthalates.,"Environmental toxicants including heavy metals (lead, cadmium) and phthalate plasticizers (DEHP, DBP, DINP) are ubiquitous contaminants that enter the human body through multiple pathways, accumulate in tissues, and induce multi-organ toxicity. While chelation therapy for heavy-metal poisoning carries significant adverse effects, effective clinical management for phthalate exposure remains limited beyond exposure reduction. We therefore developed a composite probiotic formulation containing Lact...","Food research international (Ottawa, Ont.)",2026-Jun
41956574,A pilot feasibility study of nurse-led psyllium supplementation for metabolic health in hospitalized patients with schizophrenia.,"Individuals with schizophrenia in long-term psychiatric inpatient settings face substantial cardiometabolic risk, while feasible non-pharmacological metabolic interventions remain limited within routine nursing care. Psyllium supplementation may offer a practical dietary fiber strategy that can be integrated into psychiatric nursing practice.",Archives of psychiatric nursing,2026-Apr
41956065,Crisping up Lactobacillus vaginal live biotherapeutics.,"Bacterial vaginosis remains prevalent and often refractory or recurrent. In this issue, Bloom et al. and Potloane et al. report clinical trial results evaluating three vaginal live biotherapeutic products containing different Lactobacillus crispatus strain combinations. Although the colonization findings are encouraging, optimization of doses, formulations, and treatment schedules is necessary.",Cell host & microbe,2026-Apr
41954708,Synergistic Neuroprotection of MFSD2A Overexpression and DHA Supplementation in Amyotrophic Lateral Sclerosis.,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disorder characterized by progressive motor neuron loss, with limited effective therapies. Docosahexaenoic acid (DHA) exhibits neuroprotective effects, but its limited transport across the blood-brain barrier (BBB) restricts clinical utility. Major facilitator superfamily domain-containing protein 2A (MFSD2A) is the primary transporter of DHA into the central nervous system, yet its role in ALS remains unclear. This study investiga...",Molecular neurobiology,2026-Apr
41954038,Evaluating the Effectiveness of Commercial Oral Supplements for Hair Growth: A Systematic Review and Meta-Analysis.,"Hair loss is a common condition affecting both men and women, with significant psychosocial impact. While oral supplements are marketed to improve hair growth, their clinical efficacy remains debated. This systematic review aimed to evaluate the effectiveness and safety of commercial oral nutraceuticals for hair growth.",Journal of cosmetic dermatology,2026-Apr
41953220,"Probiotics and human health: biological activities, nutritional aspects, immunomodulatory properties, applications, and future perspectives - a comprehensive review.","Probiotics, defined as living microorganisms, are widely recognized for their ability to positively influence the gut microbiota, an effect increasingly linked to a wide array of health benefits. They are claimed to treat or prevent conditions ranging from infant colic to cardiovascular disease, respiratory infections, and certain cancers. Since the beginning of the 21st century, consumer demand for probiotic-enriched foods has risen significantly, propelled by these health assertions. The consu...",Frontiers in immunology,2025
41950501,Effectiveness of Ayurvedic Nutritional Supplements and Yoga Protocol in Reducing the Incidence and Severity of Acute Mountain Sickness (AYAMS Study): Study Protocol for an Open-Label Randomized Controlled Trial.,Acute mountain sickness (AMS) poses a unique and formidable challenge to healthy personnel at high altitudes.,JMIR research protocols,2026-Apr
41950238,Folic acid supplementation ameliorates long-term lipid metabolism following intrauterine growth restriction.,This study emphasizes the potential of folic acid (FA) supplementation in controlling intrauterine growth retardation (IUGR)-induced metabolic problems and improving the long-term health consequences of afflicted individuals.,PloS one,2026
41949480,Patterns of Dietary Supplement Use for Weight Loss Among U.S. Adults With Obesity: NHANES 2007-2020.,"Dietary supplements are commonly marketed for weight loss, yet contemporary national data remain limited on the prevalence of use, types of products used, and whether use is provider-recommended among U.S. adults with obesity.",Journal of obesity,2026
41947475,"Prospective, Randomized, Double-Blind, Placebo-Controlled Study of an Oral Antioxidant-Rich Synbiotic Supplement on Skin Health and Photoaging.","Photoaged skin is primarily induced by prolonged exposure to ultraviolet radiation, leading to increased pigmentation, reduced elasticity, and pronounced wrinkles. There has been an increasing recognition of the influence of nutrition on skin health, with dietary elements emerging as a viable alternative approach to preventing photoaging. This study explores how oral supplementation impacts photoaged skin, hydration, and elasticity.",Journal of cosmetic dermatology,2026-Apr
41943891,Dietary soy protein supplementation during lactation ameliorates growth and stress-axis dysregulation in low birth weight rats.,"The Developmental Origins of Health and Disease (DOHaD) hypothesis highlights the pivotal role of early-life nutrition in shaping lifelong health and disease risk. Low birth weight (LBW) remains a major public health issue associated with increased susceptibility to metabolic and cardiovascular disease, underscoring the need for early nutritional interventions. We investigated whether dietary supplementation with soy protein isolate (SPI) during lactation could mitigate adverse developmental pro...",Journal of developmental origins of health and disease,2026-Apr
41942243,Probiotic supplementation alleviates diet-induced obesity via improving gut immune homeostasis and enhancing immunoglobulin A secretion.,"Obesity is a metabolic disorder linked to chronic low-grade inflammation and gut microbiota imbalance, with gut-immune interactions playing a key role, making microbiota-targeted dietary interventions a promising strategy. This study selected three common probiotics-Lactobacillus bulgaricus, Lactobacillus rhamnosus, and Bifidobacterium longum-to systematically investigate their anti-obesity effects and impact on intestinal immune homeostasis in high-fat diet-induced obese mice. The results showe...","Food research international (Ottawa, Ont.)",2026-Jun
41942227,"Improvement of probiotic tolerance to hyperosmotic environments by whey protein-citrus pectin conjugate: effect on the physicochemical, structural, survival of probiotic microencapsulation.",This study aimed to enhance the processing stability of Lacticaseibacillus paracasei L21 (L. paracasei L21) in hypertonic foods like honey. A microencapsulation system was constructed using whey protein isolate (WPI) -citrus pectin (CP) Maillard conjugates (WPIC). The Fourier-transform infrared spectroscopy (FT-IR) and sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-PAGE) confirmed the covalent conjugation between WPI and CP. Increasing the grafting degree of WPIC significantly re...,"Food research international (Ottawa, Ont.)",2026-Jun
41938967,Efficacy of probiotic supplementation for body weight management in overweight and obese adults: a meta-analysis of randomized controlled trials predominantly from East Asia.,"Obesity is a major risk factor for multiple chronic diseases. Probiotics, as a novel intervention strategy for obesity, exhibit varying efficacy depending on factors such as strain, dosage, and duration of administration. This variability leads to inconsistent existing conclusions, hindering their standardized application.",Frontiers in public health,2026
41938523,Fermented Clostridium butyricum GKB7 Inhibits Osteoarthritis Induced by Anterior Cruciate Ligament Transection in a Preclinical Model.,"Aging-related osteoarthritis (OA) affects joints and causes functional impairment. Probiotics are recognized safe for consumption and numerous exhibit beneficial bioactivity for human health conditions. Clostridium butyricum, frequently found in the environment and reported to colonize the stomachs of adults and newborns, exhibits anti-inflammatory properties. This study investigated whether fermented Clostridium butyricum GKB7 is effective at preventing the advancement of OA. Fermented GKB7 red...",International journal of medical sciences,2026
41938113,Integrative approaches to healthy aging in postmenopausal women: the synergistic benefits of exercise combined with functional foods and dietary supplements.,"The transition into menopause is accompanied by physiological changes that can impact women's health and quality of life (QoL), including impaired bone metabolism, metabolic dysregulation, and diminished mental well-being. This review explores integrative, non-pharmacological strategies-specifically structured exercise training combined with functional foods and dietary supplements-as synergistic approaches to mitigate these challenges. We synthesize current evidence on the endocrine, skeletal, ...",Frontiers in endocrinology,2026
41937888,Comparison of the effects of therapeutic exercise with either an educational booklet or vitamin-D3 supplement in the management of chronic low back pain: study protocol for an assessor blinded multicenter randomized clinical trial.,"Background: Chronic low back pain (CLBP) is a common musculoskeletal disorder that significantly impairs quality of life and is frequently associated with vitamin D deficiency. Therapeutic exercise is a cornerstone of management, yet the optimal adjunct intervention to restore serum vitamin D levels remains uncertain. No prior randomized trial has compared oral vitamin D supplementation with lifestyle education on sun exposure, nutrition, and physical activity, both combined with therapeutic exe...",F1000Research,2022
41934514,Efficacy of HMB supplementation as an adjunct to resistance training in older adults: a comprehensive meta-analysis.,"Resistance training has robust evidence for improving muscle health in older adults; however, the additional benefit of adjunctive supplementation with β-hydroxy β-methylbutyrate (HMB) remains unclear. This systematic review and meta-analysis evaluated the effect of HMB supplementation combined with resistance training on body composition and muscle strength in adults aged 50 years and older.",Age and ageing,2026-Mar
41931531,Lactobacillus casei culture supernatant ameliorates acute alcohol-induced liver injury by inhibiting cellular stress and promoting intestinal integrity in mice.,"Alcohol-associated liver disease (ALD) is a common liver disease worldwide. Probiotics prevent alcohol-induced liver injury and improve intestinal integrity. However, the precise mechanisms behind these effects are not fully understood. In the present study, we investigated the effects of Lactobacillus casei (L. casei) AS1.2435 on ALD in a mouse model. Ten-week-old ICR mice were pretreated with L. casei intracellular product or L. casei supernatants in drinking solution for 2 weeks before gavage...",PloS one,2026
41931124,Probiotic novel strain Lactobacillus reuteri MRD01 alleviates dextran sulfate sodium-induced colitis in male mice by promoting intestinal barrier integrity.,"Intestinal barrier dysfunction contributes to the progression of inflammatory bowel disease (IBD), yet current therapies provide limited symptom relief, are associated with substantial long-term adverse effects, and exhibit high recurrence rates. Lactobacillus reuteri (L. reuteri), a probiotic with strong colonisation capacity in the gastrointestinal tract, produces metabolites that regulate intestinal microecology. This study explored the therapeutic efficacy and underlying mechanisms of a newl...",Antonie van Leeuwenhoek,2026-Apr
